index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
0,6,1,0,0,0,0,0,0,0,0,6.0,0
1,36,1,3,0,0,0,0,0,0,0,36.0,0
2,15,2,1,0,0,0,0,0,0,0,7.0,0
3,22,1,2,0,0,0,0,0,0,0,22.0,0
4,9,1,0,0,0,0,0,0,0,0,9.0,0
5,5,1,0,0,0,0,0,0,0,0,5.0,0
6,10,1,0,0,0,0,0,0,0,0,10.0,0
7,16,1,0,0,0,0,0,0,0,0,16.0,0
8,111,14,30,0,2,3,0,1,2,4,7.0,1
10,30,5,8,0,3,0,0,0,2,0,5.2,1
11,222,22,58,0,0,6,0,2,9,22,9.136363636363637,1
12,4,1,0,0,0,0,0,0,0,0,4.0,0
13,77,8,19,0,2,1,0,1,2,6,8.75,1
14,11,1,0,0,0,0,0,0,0,0,11.0,0
15,17,1,2,0,0,0,0,0,0,0,17.0,0
19,111,13,31,0,0,2,0,1,1,14,7.615384615384615,1
20,44,4,17,1,0,0,0,0,1,9,10.25,1
21,21,2,8,0,0,0,0,0,0,4,10.0,1
22,31,1,27,0,0,0,0,0,0,0,31.0,1
23,2,1,0,0,0,0,0,0,0,0,2.0,0
26,8,1,0,0,0,0,0,0,0,0,8.0,0
27,47,5,12,0,0,0,0,1,1,4,8.6,1
28,19,1,3,0,0,0,0,0,0,0,19.0,0
32,27,5,12,4,0,0,0,2,2,0,4.6,1
33,18,1,2,0,0,0,0,0,0,0,18.0,0
36,7,1,0,0,0,0,0,0,0,0,7.0,0
37,22,3,8,0,1,0,0,1,1,2,6.666666666666667,1
38,98,10,25,0,2,2,0,0,1,5,8.9,1
39,79,9,18,0,1,5,0,1,3,2,7.888888888888889,1
40,66,8,25,0,0,0,0,1,3,12,7.375,1
42,87,9,29,4,0,0,4,1,3,10,8.777777777777779,1
43,67,7,15,1,0,5,0,1,3,1,8.714285714285714,1
44,38,4,11,0,0,0,0,1,1,6,8.75,1
45,23,3,9,1,1,0,0,1,1,3,7.0,1
46,69,6,19,0,0,1,0,1,2,6,10.666666666666666,1
49,32,1,4,0,0,0,0,0,0,0,32.0,0
50,59,7,16,0,2,0,0,1,1,4,7.571428571428571,1
52,17,4,6,0,1,1,0,0,0,0,3.5,0
53,77,3,22,2,2,0,0,3,0,2,25.0,1
54,85,9,19,0,0,7,0,1,3,1,8.555555555555555,1
56,63,8,21,4,0,0,0,2,3,8,7.0,1
57,120,10,41,4,0,4,0,2,3,18,11.1,1
58,78,9,25,3,0,0,2,1,3,9,7.777777777777778,1
59,222,15,72,0,0,0,20,3,3,34,13.866666666666667,1
60,32,1,7,0,0,0,0,0,0,2,32.0,1
61,12,2,2,0,0,1,0,0,0,0,5.5,0
63,59,6,20,4,0,0,4,2,2,4,9.0,1
64,10,2,1,0,0,0,0,0,0,0,4.5,0
68,88,12,25,1,0,0,0,1,1,8,6.416666666666667,1
72,29,6,6,0,0,0,0,0,0,0,4.0,0
75,51,2,15,2,0,0,0,1,0,2,25.0,1
76,91,4,26,4,0,3,0,1,1,14,22.0,1
77,13,2,1,0,0,0,0,0,0,0,6.0,0
78,36,5,10,1,3,1,0,0,2,1,6.4,1
80,47,5,15,4,0,1,0,2,2,4,8.6,1
84,22,4,7,0,0,2,0,0,0,0,4.75,0
85,8,1,1,0,1,0,0,0,0,0,8.0,0
86,69,7,18,0,0,1,0,1,3,6,9.0,1
88,54,5,12,1,1,5,0,0,2,0,10.0,1
