index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
0,10,1,0,0,0,0,0,0,0,0,10.0,0
1,61,7,16,0,3,1,0,2,2,3,7.857142857142857,1
2,35,5,9,1,1,1,0,0,2,0,6.2,1
3,202,15,66,0,0,0,0,2,2,40,12.533333333333333,1
4,34,5,7,0,1,0,0,2,2,0,6.0,1
5,23,4,3,0,0,0,0,0,0,0,5.0,0
6,13,2,1,0,0,0,0,0,0,0,6.0,0
7,117,13,26,1,2,4,0,2,3,4,8.076923076923077,1
8,53,7,16,0,3,0,0,2,2,4,6.714285714285714,1
9,96,10,23,0,2,2,0,0,1,5,8.7,1
10,90,11,27,3,0,0,2,1,3,9,7.2727272727272725,1
11,7,1,0,0,0,0,0,0,0,0,7.0,0
12,9,1,0,0,0,0,0,0,0,0,9.0,0
13,55,3,15,0,1,0,0,3,0,0,17.666666666666668,1
16,5,1,0,0,0,0,0,0,0,0,5.0,0
17,20,4,5,0,0,2,0,0,0,0,4.25,0
18,47,2,11,1,0,1,0,0,0,5,23.0,1
20,6,1,0,0,0,0,0,0,0,0,6.0,0
21,106,6,24,0,0,5,0,2,2,12,16.833333333333332,1
22,66,5,16,1,3,7,0,0,2,0,12.4,1
24,60,9,14,0,0,2,0,1,3,1,5.777777777777778,1
25,58,5,15,1,0,6,0,0,2,3,10.8,1
26,48,7,14,4,0,1,0,1,3,2,6.0,1
27,50,6,18,0,0,0,0,0,1,9,7.5,1
30,42,5,13,2,2,0,0,1,1,1,7.6,1
31,18,1,2,0,0,0,0,0,0,0,18.0,0
32,17,1,2,0,0,0,0,0,0,0,17.0,0
34,46,5,15,0,0,0,0,0,1,8,8.4,1
36,96,16,28,0,0,1,0,1,2,10,5.0625,1
38,16,1,0,0,0,0,0,0,0,0,16.0,0
39,32,3,12,1,0,1,0,1,1,5,10.0,1
40,63,5,13,0,0,1,0,2,2,5,11.8,1
41,226,17,81,0,0,1,20,2,4,36,12.352941176470589,1
42,4,1,0,0,0,0,0,0,0,0,4.0,0
43,169,1,165,0,0,0,0,0,0,0,169.0,1
44,27,1,2,0,0,0,0,0,0,0,27.0,0
46,111,12,27,4,0,2,0,1,2,4,8.333333333333334,1
47,15,2,1,0,0,0,0,0,0,0,7.0,0
50,222,22,56,1,2,6,0,2,9,21,9.136363636363637,1
51,44,6,15,0,0,0,0,0,2,8,6.5,1
52,44,5,10,0,1,3,0,0,2,0,8.0,1
53,16,3,4,0,0,0,0,1,1,1,4.666666666666667,1
55,27,4,3,0,0,0,0,0,0,0,6.0,0
57,61,8,19,4,0,0,0,2,3,6,6.75,1
59,56,5,13,1,2,6,0,0,2,0,10.4,1
60,15,3,2,0,0,0,0,0,0,0,4.333333333333333,0
61,11,1,0,0,0,0,0,0,0,0,11.0,0
63,72,6,17,1,2,1,0,1,1,6,11.166666666666666,1
65,36,4,17,4,0,0,0,1,1,6,8.25,1
67,40,5,15,4,1,0,0,2,2,4,7.2,1
68,23,1,3,0,0,0,0,0,0,0,23.0,0
69,153,8,42,3,2,3,8,2,3,17,18.25,1
76,42,6,13,3,2,0,0,1,1,0,6.166666666666667,1
78,26,1,4,0,1,0,0,0,0,0,26.0,0
79,60,6,15,0,0,1,0,1,2,7,9.166666666666666,1
80,25,1,3,0,0,0,0,0,0,0,25.0,0
82,11,2,1,0,0,0,0,0,0,0,5.0,0
84,8,1,0,0,0,0,0,0,0,0,8.0,0
86,118,14,35,4,0,2,0,2,3,8,7.5,1
88,22,4,6,0,0,2,0,0,0,0,4.75,0
89,64,8,23,4,0,0,0,1,3,10,7.125,1
92,23,1,2,0,0,0,0,0,0,0,23.0,0
96,24,3,2,0,0,0,0,0,0,0,7.333333333333333,0
97,12,2,1,0,0,0,0,0,0,0,5.5,0
99,34,5,8,1,1,1,0,0,2,0,6.0,1
105,160,15,38,0,2,5,0,2,1,14,9.733333333333333,1
107,3,1,0,0,0,0,0,0,0,0,3.0,0
108,204,13,65,0,1,0,20,2,2,28,14.76923076923077,1
113,22,4,6,0,0,1,0,0,0,0,4.75,0
115,22,1,3,0,0,0,0,0,0,0,22.0,0
117,16,3,2,0,0,0,0,0,0,0,4.666666666666667,0
118,35,5,15,0,0,0,0,1,2,6,6.2,1
119,69,10,19,0,2,0,0,2,3,5,6.0,1
120,218,14,64,0,2,4,10,2,2,32,14.642857142857142,1
122,21,4,3,0,0,0,0,0,0,0,4.5,0
123,22,4,5,0,0,1,0,0,0,0,4.75,0
124,20,3,6,1,1,0,0,1,1,1,6.0,1
125,121,14,28,0,2,2,0,2,3,5,7.714285714285714,1
126,20,1,3,0,0,0,0,0,0,0,20.0,0
127,22,4,5,0,0,2,0,0,0,0,4.75,0
128,76,7,16,0,0,7,0,1,3,0,10.0,1
134,25,1,2,0,0,0,0,0,0,0,25.0,0
138,61,5,14,1,2,7,0,0,2,0,11.4,1
141,30,5,6,0,1,1,0,0,0,0,5.2,0
142,20,3,6,0,3,0,0,1,1,0,6.0,1
143,73,10,22,0,0,0,0,1,2,9,6.4,1
144,23,3,9,1,3,0,0,1,1,2,7.0,1
145,40,4,13,4,0,0,0,1,1,4,9.25,1
146,21,4,5,0,0,0,0,1,1,0,4.5,1
147,69,6,14,0,0,1,0,1,1,5,10.666666666666666,1
149,89,9,18,1,0,4,0,0,1,3,9.0,1
151,40,4,11,1,2,0,0,1,1,3,9.25,1
152,42,5,11,0,0,3,0,0,2,3,7.6,1
153,120,13,31,4,0,4,0,2,3,8,8.307692307692308,1
154,23,1,3,0,1,0,0,0,0,0,23.0,0
157,7,1,2,2,0,0,0,0,0,0,7.0,1
159,35,5,8,0,0,2,0,0,2,1,6.2,1
160,237,16,77,4,0,0,24,3,3,30,13.875,1
162,123,18,36,4,2,0,4,2,3,5,5.888888888888889,1
163,14,3,4,0,0,1,0,0,0,0,4.0,0
165,22,4,7,0,1,2,0,0,0,0,4.75,0
166,232,17,74,0,2,0,20,3,3,32,12.705882352941176,1
169,68,4,17,2,0,1,0,1,1,8,16.25,1
171,116,8,28,0,0,6,0,1,3,10,13.625,1
172,80,8,23,4,0,1,0,2,3,8,9.125,1
175,107,11,23,1,2,4,0,1,2,3,8.818181818181818,1
176,20,4,4,0,1,0,0,0,0,0,4.25,0
177,18,3,3,0,0,1,0,0,0,0,5.333333333333333,0
178,26,1,2,0,0,0,0,0,0,0,26.0,0
179,19,3,2,0,0,0,0,0,0,0,5.666666666666667,0
180,45,6,18,6,0,0,0,1,1,4,6.666666666666667,1
181,12,1,0,0,0,0,0,0,0,0,12.0,0
182,95,9,26,4,0,1,0,2,3,8,9.666666666666666,1
183,15,1,0,0,0,0,0,0,0,0,15.0,0
186,163,7,47,0,0,4,10,1,3,22,22.428571428571427,1
187,71,5,17,0,3,8,0,0,2,2,13.4,1
189,46,6,14,3,0,0,0,1,2,3,6.833333333333333,1
191,220,15,78,4,0,0,20,3,3,34,13.733333333333333,1
192,9,1,1,0,0,0,0,0,0,0,9.0,0
193,84,9,19,1,1,6,0,1,3,1,8.444444444444445,1
194,125,20,35,0,2,0,0,2,3,9,5.3,1
196,14,2,1,0,0,0,0,0,0,0,6.5,0
199,39,7,8,0,1,0,0,0,0,0,4.714285714285714,0
202,49,6,12,1,0,1,0,1,1,3,7.333333333333333,1
203,41,1,3,0,1,0,0,0,0,0,41.0,0
205,34,3,10,0,2,0,0,0,0,3,10.666666666666666,1
207,29,3,9,1,0,1,0,1,1,4,9.0,1
210,63,8,18,0,0,0,0,1,2,8,7.0,1
213,108,12,28,1,2,2,0,1,2,7,8.083333333333334,1
214,13,1,2,0,0,0,0,0,0,0,13.0,0
215,100,11,22,0,2,4,0,1,2,4,8.181818181818182,1
217,99,11,22,0,2,4,0,1,2,4,8.090909090909092,1
219,54,2,11,0,1,0,0,2,0,0,26.5,1
220,18,4,3,0,0,0,0,0,0,0,3.75,0
221,18,1,3,0,1,0,0,0,0,0,18.0,0
222,61,3,19,0,0,0,0,2,0,0,19.666666666666668,1
225,114,3,34,1,2,3,6,1,1,18,37.333333333333336,1
228,40,7,9,0,0,0,0,2,2,1,4.857142857142857,1
234,51,6,14,1,2,0,0,0,0,3,7.666666666666667,1
235,19,3,3,0,0,1,0,0,0,0,5.666666666666667,0
236,20,3,10,1,0,0,0,0,1,5,6.0,1
237,28,6,5,0,0,0,0,0,0,0,3.8333333333333335,0
238,34,5,7,0,0,2,0,0,0,0,6.0,0
240,58,8,25,0,0,0,0,2,3,10,6.375,1
243,170,23,37,1,0,6,0,1,2,5,6.434782608695652,1
245,71,5,16,0,0,9,0,0,2,1,13.4,1
246,48,3,11,0,0,1,0,1,1,5,15.333333333333334,1
248,19,1,2,0,0,0,0,0,0,0,19.0,0
249,210,17,66,0,2,0,0,2,2,36,11.411764705882353,1
250,65,6,19,0,2,1,0,1,2,8,10.0,1
253,21,4,4,0,0,1,0,0,0,0,4.5,0
257,142,17,38,4,0,2,4,2,4,6,7.411764705882353,1
259,20,4,4,0,0,1,0,0,0,0,4.25,0
260,119,4,30,0,2,4,4,1,1,15,29.0,1
263,21,4,6,0,0,1,0,0,0,0,4.5,0
264,157,5,46,1,2,4,10,2,2,23,30.6,1
265,213,17,78,0,0,0,20,2,3,34,11.588235294117647,1
266,99,12,28,0,2,0,0,1,1,9,7.333333333333333,1
271,205,15,67,0,1,0,0,2,2,40,12.733333333333333,1
273,143,18,42,10,0,1,0,0,4,8,7.0,1
276,115,14,29,1,2,2,0,2,3,5,7.285714285714286,1
277,13,3,4,0,0,1,0,0,0,0,3.6666666666666665,0
279,13,3,2,0,0,0,0,0,0,0,3.6666666666666665,0
280,54,9,15,0,2,0,0,1,0,1,5.111111111111111,1
281,165,5,52,4,0,4,10,2,2,28,32.2,1
282,28,1,2,0,0,0,0,0,0,0,28.0,0
283,64,6,19,0,2,1,0,1,2,9,9.833333333333334,1
286,16,2,1,0,0,0,0,0,0,0,7.5,0
287,17,3,5,0,0,0,0,1,1,2,5.0,1
288,34,2,12,2,0,1,0,1,0,2,16.5,1
290,88,6,23,3,2,1,0,1,1,9,13.833333333333334,1
292,51,5,14,1,2,0,0,1,1,3,9.4,1
293,110,8,34,0,0,1,6,0,3,14,12.875,1
295,111,6,28,4,0,5,0,2,2,12,17.666666666666668,1
296,13,1,0,0,0,0,0,0,0,0,13.0,0
297,19,4,7,0,1,0,0,0,1,2,4.0,1
299,104,7,29,1,2,1,6,0,1,11,14.0,1
301,14,3,2,0,0,0,0,0,0,0,4.0,0
302,109,14,33,4,0,2,0,2,3,6,6.857142857142857,1
303,72,7,17,1,2,1,0,2,2,5,9.428571428571429,1
304,118,7,33,3,2,1,6,1,2,11,16.0,1
305,67,3,20,2,0,0,0,0,0,2,21.666666666666668,1
310,30,1,3,0,1,0,0,0,0,0,30.0,0
311,119,10,41,0,0,4,0,2,3,18,11.0,1
315,67,6,17,0,0,1,0,1,2,4,10.333333333333334,1
316,98,11,21,1,0,4,0,1,2,4,8.0,1
317,86,7,18,0,2,9,0,1,3,0,11.428571428571429,1
321,36,1,3,0,1,0,0,0,0,0,36.0,0
322,211,16,52,0,0,3,6,1,3,22,12.25,1
325,112,8,32,0,2,1,6,1,2,12,13.125,1
328,111,6,35,0,0,6,0,2,2,16,17.666666666666668,1
330,118,14,27,0,0,2,0,2,3,6,7.5,1
331,80,9,19,0,3,5,0,1,3,1,8.0,1
333,16,4,4,0,0,0,0,0,0,0,3.25,0
341,97,16,29,1,0,1,0,1,2,10,5.125,1
342,22,3,8,0,1,0,0,1,1,1,6.666666666666667,1
343,133,11,30,1,0,5,0,1,0,13,11.181818181818182,1
345,17,3,2,0,0,0,0,0,0,0,5.0,0
347,172,12,39,0,0,5,0,1,2,18,13.416666666666666,1
348,29,1,3,0,1,0,0,0,0,0,29.0,0
350,77,8,19,0,2,1,0,1,2,6,8.75,1
356,15,1,2,0,0,0,0,0,0,0,15.0,0
359,180,24,40,0,2,6,0,2,3,6,6.541666666666667,1
361,55,7,14,1,2,0,0,1,1,3,7.0,1
362,109,15,27,1,2,2,0,2,2,4,6.333333333333333,1
363,80,4,23,2,0,1,0,1,1,10,19.25,1
366,21,4,5,0,0,1,0,0,0,0,4.5,0
368,82,5,24,6,0,1,0,2,2,10,15.6,1
371,93,1,89,0,0,0,0,0,0,0,93.0,1
375,171,23,38,1,2,6,0,1,2,5,6.478260869565218,1
376,12,1,1,0,1,0,0,0,0,0,12.0,0
377,78,8,23,4,0,0,4,1,2,4,8.875,1
381,62,5,15,4,0,1,0,2,2,4,11.6,1
382,70,6,19,4,0,1,0,0,2,8,10.833333333333334,1
386,7,2,2,0,0,1,0,0,0,0,3.0,0
387,74,10,23,1,0,0,0,1,2,10,6.5,1
388,210,15,75,0,3,0,20,3,2,33,13.066666666666666,1
389,125,16,32,0,2,3,0,2,3,5,6.875,1
391,18,3,2,0,0,0,0,0,0,0,5.333333333333333,0
395,42,7,11,0,0,0,0,2,2,1,5.142857142857143,1
396,56,7,15,1,2,0,0,1,1,3,7.142857142857143,1
397,219,15,74,0,3,1,20,3,3,31,13.666666666666666,1
399,16,3,4,0,0,1,0,0,0,0,4.666666666666667,0
400,15,4,6,0,2,0,0,0,1,0,3.0,1
401,25,4,3,0,0,0,0,0,0,0,5.5,0
404,17,3,3,0,0,1,0,0,0,0,5.0,0
406,204,13,61,0,2,1,0,2,1,34,14.76923076923077,1
407,172,12,39,1,0,5,0,1,2,18,13.416666666666666,1
409,105,8,29,0,0,4,0,1,2,14,12.25,1
411,44,7,13,1,2,0,0,2,2,2,5.428571428571429,1
412,35,7,8,0,0,1,0,0,0,0,4.142857142857143,0
413,54,7,13,0,2,0,0,1,1,3,6.857142857142857,1
415,14,2,3,0,0,2,0,0,0,0,6.5,0
416,115,15,29,1,2,2,0,1,2,5,6.733333333333333,1
418,18,4,5,0,0,1,0,0,0,0,3.75,0
421,102,6,27,0,2,1,6,1,2,10,16.166666666666668,1
423,61,8,17,0,2,0,0,2,3,5,6.75,1
426,37,5,11,1,1,1,0,0,2,3,6.6,1
427,68,10,22,0,2,0,0,1,0,8,5.9,1
428,14,1,0,0,0,0,0,0,0,0,14.0,0
435,59,8,19,0,0,0,0,1,3,10,6.5,1
437,19,4,5,0,0,2,0,0,0,0,4.0,0
440,10,2,1,0,0,0,0,0,0,0,4.5,0
444,68,5,17,0,2,8,0,0,2,2,12.8,1
445,36,1,3,0,0,0,0,0,0,0,36.0,0
447,43,5,13,1,1,2,0,0,2,3,7.8,1
449,19,4,7,0,3,0,0,0,1,1,4.0,1
450,49,6,17,1,0,0,0,0,1,8,7.333333333333333,1
452,46,5,12,0,1,3,0,0,2,1,8.4,1
453,73,5,19,0,3,8,0,0,2,3,13.8,1
456,110,16,28,0,0,0,0,2,2,7,5.9375,1
458,100,7,31,4,0,1,6,1,3,12,13.428571428571429,1
462,160,5,48,0,0,4,10,2,2,28,31.2,1
467,110,2,27,0,1,0,0,1,0,2,54.5,1
470,22,1,2,0,0,0,0,0,0,0,22.0,0
471,113,14,28,0,2,2,0,2,3,4,7.142857142857143,1
472,217,15,75,4,1,0,20,3,3,30,13.533333333333333,1
473,45,5,18,6,0,0,0,1,1,4,8.2,1
