index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
0,78,8,29,0,0,1,0,2,3,12,8.875,1
1,34,1,3,0,0,0,0,0,0,0,34.0,0
2,27,1,3,0,1,0,0,0,0,0,27.0,0
3,98,5,22,0,2,5,0,1,1,10,18.8,1
4,54,9,15,0,2,0,0,1,0,1,5.111111111111111,1
5,201,15,63,1,2,0,0,2,2,34,12.466666666666667,1
6,9,1,0,0,0,0,0,0,0,0,9.0,0
7,5,1,0,0,0,0,0,0,0,0,5.0,0
8,14,2,3,0,0,1,0,0,0,0,6.5,0
9,7,1,0,0,0,0,0,0,0,0,7.0,0
10,226,24,57,4,0,6,0,1,10,20,8.458333333333334,1
11,12,1,0,0,0,0,0,0,0,0,12.0,0
12,31,1,3,0,0,0,0,0,0,0,31.0,1
13,63,5,14,0,0,1,0,2,2,5,11.8,1
14,11,1,0,0,0,0,0,0,0,0,11.0,0
15,176,13,46,0,0,6,0,2,3,20,12.615384615384615,1
16,27,4,5,0,0,1,0,0,0,0,6.0,0
17,17,1,2,0,0,0,0,0,0,0,17.0,0
20,4,1,0,0,0,0,0,0,0,0,4.0,0
21,74,7,18,0,2,1,0,2,2,6,9.714285714285714,1
22,78,8,29,4,0,1,0,2,3,12,8.875,1
23,10,3,2,0,0,0,0,0,0,0,2.6666666666666665,0
24,107,11,23,1,2,4,0,1,2,3,8.818181818181818,1
26,129,19,35,1,2,0,0,2,3,9,5.842105263157895,1
28,120,14,28,1,2,2,0,2,3,4,7.642857142857143,1
29,13,1,0,0,0,0,0,0,0,0,13.0,0
33,34,3,8,0,1,1,0,1,1,3,10.666666666666666,1
34,116,14,29,1,2,3,0,1,2,3,7.357142857142857,1
35,41,6,14,2,0,0,0,1,1,0,6.0,1
36,79,8,20,0,2,1,0,2,3,7,9.0,1
38,72,8,18,3,0,3,2,1,3,1,8.125,1
39,35,6,10,1,0,0,0,0,0,3,5.0,1
40,8,1,0,0,0,0,0,0,0,0,8.0,0
41,29,1,3,0,1,0,0,0,0,0,29.0,0
42,3,1,0,0,0,0,0,0,0,0,3.0,0
43,59,7,16,1,2,1,0,2,2,4,7.571428571428571,1
44,6,1,0,0,0,0,0,0,0,0,6.0,0
45,16,1,0,0,0,0,0,0,0,0,16.0,0
48,113,14,29,0,2,0,0,2,2,7,7.142857142857143,1
49,19,4,5,0,1,1,0,0,0,0,4.0,0
50,10,1,0,0,0,0,0,0,0,0,10.0,0
53,114,3,34,1,2,3,6,1,1,19,37.333333333333336,1
55,23,3,6,0,0,0,0,0,0,2,7.0,1
56,18,3,2,0,0,0,0,0,0,0,5.333333333333333,0
58,36,6,6,0,0,0,0,0,0,0,5.166666666666667,0
59,65,7,14,1,1,4,0,1,3,0,8.428571428571429,1
65,40,7,13,4,0,0,0,1,3,2,4.857142857142857,1
66,23,1,2,0,0,0,0,0,0,0,23.0,0
67,50,4,10,0,0,1,0,1,1,4,11.75,1
68,48,5,16,4,1,1,0,2,2,4,8.8,1
69,25,1,3,0,1,0,0,0,0,0,25.0,0
70,203,15,63,0,3,0,0,2,2,34,12.6,1
71,25,1,3,0,0,0,0,0,0,0,25.0,0
72,33,1,2,0,0,0,0,0,0,0,33.0,0
73,44,6,14,0,2,0,0,1,2,4,6.5,1
75,18,1,2,0,0,0,0,0,0,0,18.0,0
76,20,3,2,0,0,0,0,0,0,0,6.0,0
77,95,6,28,1,2,1,6,1,1,11,15.0,1
80,26,3,7,0,0,1,0,1,1,2,8.0,1
81,79,11,19,0,2,0,0,2,2,4,6.2727272727272725,1
83,47,5,16,0,1,0,0,1,0,2,8.6,1
87,33,1,5,0,3,0,0,0,0,0,33.0,0
90,23,1,3,0,0,0,0,0,0,0,23.0,0
91,74,7,22,0,0,1,0,1,3,10,9.714285714285714,1
92,89,7,24,3,2,1,0,2,2,9,11.857142857142858,1
94,18,3,3,0,0,1,0,0,0,0,5.333333333333333,0
97,101,7,31,0,0,1,6,1,3,12,13.571428571428571,1
98,118,13,27,0,2,4,0,2,3,5,8.153846153846153,1
99,111,14,30,0,0,2,0,0,3,6,7.0,1
100,51,9,13,1,0,0,0,1,3,2,4.777777777777778,1
101,52,9,14,0,2,0,0,1,3,2,4.888888888888889,1
102,83,10,19,1,2,0,0,2,2,3,7.4,1
104,56,4,17,0,2,1,0,0,1,7,13.25,1
105,62,5,16,0,3,6,0,0,2,3,11.6,1
106,15,1,2,0,0,0,0,0,0,0,15.0,0
107,12,2,3,0,0,2,0,0,0,0,5.5,0
108,58,6,16,2,0,1,0,2,2,4,8.833333333333334,1
110,92,14,27,0,2,0,0,2,1,7,5.642857142857143,1
117,55,2,12,2,0,0,0,1,0,2,27.0,1
118,20,4,5,0,0,1,0,0,0,0,4.25,0
122,27,5,4,0,0,0,0,0,0,0,4.6,0
124,171,22,37,0,2,6,0,2,3,5,6.818181818181818,1
127,14,3,2,0,0,0,0,0,0,0,4.0,0
131,114,14,29,0,0,3,0,1,2,2,7.214285714285714,1
133,159,5,45,0,2,4,10,2,2,22,31.0,1
136,120,14,28,1,2,2,0,1,2,4,7.642857142857143,1
138,64,5,17,4,0,1,0,2,2,6,12.0,1
140,27,1,3,0,0,0,0,0,0,0,27.0,0
141,72,7,16,0,2,1,0,2,2,5,9.428571428571429,1
143,61,5,15,1,3,6,0,0,2,1,11.4,1
144,134,18,38,4,0,3,0,1,4,8,6.5,1
145,67,7,16,0,0,1,0,1,3,4,8.714285714285714,1
149,16,2,1,0,0,0,0,0,0,0,7.5,0
153,30,1,3,0,1,0,0,0,0,0,30.0,0
156,35,5,10,0,2,0,0,1,1,2,6.2,1
157,101,7,31,4,0,1,6,1,3,12,13.571428571428571,1
159,15,3,5,0,0,2,0,0,0,0,4.333333333333333,0
160,42,7,11,1,0,0,0,2,2,1,5.142857142857143,1
163,35,1,2,0,0,0,0,0,0,0,35.0,0
166,73,6,23,4,0,1,0,1,2,10,11.333333333333334,1
168,71,5,16,0,0,9,0,0,2,1,13.4,1
169,120,13,31,4,0,4,0,2,3,8,8.307692307692308,1
171,45,7,12,0,1,0,0,2,2,1,5.571428571428571,1
173,126,15,29,1,2,4,0,2,3,5,7.466666666666667,1
175,112,14,37,0,0,2,0,2,3,10,7.071428571428571,1
176,137,11,38,2,0,4,0,2,3,16,11.545454545454545,1
177,13,2,1,0,0,0,0,0,0,0,6.0,0
178,62,5,15,1,0,7,0,0,2,2,11.6,1
179,111,8,31,0,2,1,6,1,2,12,13.0,1
180,18,3,3,0,0,0,0,0,0,0,5.333333333333333,0
181,17,3,2,0,0,0,0,0,0,0,5.0,0
182,20,3,6,0,1,0,0,1,1,2,6.0,1
183,19,1,2,0,0,0,0,0,0,0,19.0,0
184,45,5,11,1,1,3,0,0,2,1,8.2,1
186,29,5,5,0,0,1,0,0,0,0,5.0,0
187,77,13,19,1,2,0,0,2,1,1,5.0,1
188,11,2,1,0,0,0,0,0,0,0,5.0,0
194,84,5,26,6,0,1,0,2,2,12,16.0,1
197,125,15,29,0,2,4,0,2,3,6,7.4,1
198,22,4,3,0,0,0,0,0,0,0,4.75,0
201,54,1,24,2,4,0,0,0,0,2,54.0,1
203,60,7,13,0,1,3,0,1,3,0,7.714285714285714,1
209,45,2,9,1,0,1,0,0,0,4,22.0,1
212,121,16,30,0,2,2,0,2,3,5,6.625,1
213,23,4,4,0,0,1,0,0,0,0,5.0,0
