num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
1,1,0,0,0,0,0,0,0,0,1.0,1.0
3,1,2,1,0,0,0,0,0,0,2.0,1.0
5,2,4,1,2,0,0,0,0,0,2.0,1.0
15,6,10,1,2,0,0,1,1,0,1.6666666666666667,1.0
1,1,1,0,0,0,0,0,0,0,1.0,1.0
24,8,11,1,0,0,0,1,2,1,2.0,1.0
13,6,9,0,2,0,0,1,1,0,1.3333333333333333,1.0
25,6,9,1,2,0,0,0,1,0,3.3333333333333335,1.0
24,6,9,1,2,0,0,0,1,0,3.1666666666666665,1.0
21,5,9,4,0,0,0,1,1,0,3.4,1.0
53,15,26,1,2,0,0,1,3,4,2.466666666666667,1.0
32,6,10,1,2,0,0,0,1,0,4.5,1.0
27,5,8,2,0,0,0,0,2,0,4.6,1.0
15,6,9,0,2,0,0,1,1,0,1.6666666666666667,1.0
49,5,15,3,2,0,0,0,0,0,9.0,1.0
10,5,5,0,0,0,0,1,1,0,1.2,1.0
14,5,9,4,0,0,0,1,1,0,2.0,1.0
31,7,15,2,0,0,0,1,1,2,3.0,1.0
3,1,1,1,0,0,0,0,0,0,3.0,1.0
28,8,11,0,0,0,0,0,1,2,2.375,1.0
11,5,5,0,0,0,0,1,1,0,1.4,1.0
56,15,26,1,2,0,0,1,3,4,2.6666666666666665,1.0
18,4,9,1,2,0,0,0,0,0,3.75,1.0
4,1,2,1,0,0,0,0,0,0,4.0,1.0
32,5,9,2,0,0,0,1,1,0,5.2,1.0
43,10,14,2,0,0,0,1,2,0,3.2,1.0
116,28,49,2,0,2,0,1,4,8,2.892857142857143,1.0
74,12,24,2,2,6,0,1,4,0,5.083333333333333,1.0
33,6,9,0,0,0,0,0,3,0,4.666666666666667,1.0
13,5,9,0,0,0,0,1,1,0,1.8,1.0
13,5,9,4,0,0,0,1,1,0,1.8,1.0
49,5,22,4,0,0,4,0,0,2,9.0,1.0
